index,district,ward,type_of_housing,legal_paper,price
18571,Thanh Xuân,Hạ Đình,"Nhà ngõ, hẻm",Đã có sổ,96.25
76170,Hoàng Mai,Giáp Bát,"Nhà mặt phố, mặt tiền",Đã có sổ,120.0
17572,Thanh Xuân,Nhân Chính,"Nhà ngõ, hẻm",Đã có sổ,83.82
63889,Thanh Xuân,Nhân Chính,"Nhà mặt phố, mặt tiền",Đã có sổ,252.0
34459,Hoàng Mai,Định Công,"Nhà ngõ, hẻm",Đã có sổ,60.0
49647,Thanh Xuân,Khương Mai,"Nhà ngõ, hẻm",Đã có sổ,80.0
42446,Tây Hồ,Xuân La,"Nhà ngõ, hẻm",Đã có sổ,73.81
7039,Thanh Xuân,Hạ Đình,"Nhà ngõ, hẻm",Đã có sổ,13.13
68787,Thanh Xuân,Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,80.0
34184,Hoàng Mai,Định Công,"Nhà ngõ, hẻm",Đã có sổ,66.67
46620,Hoàng Mai,Định Công,"Nhà ngõ, hẻm",Đã có sổ,101.39
22329,Hoàng Mai,Lĩnh Nam,"Nhà ngõ, hẻm",Đã có sổ,60.91
14206,Cầu Giấy,Mai Dịch,"Nhà mặt phố, mặt tiền",Đã có sổ,330.0
58399,Hà Đông,Văn Quán,"Nhà ngõ, hẻm",Đã có sổ,130.0
14343,Ba Đình,Giảng Võ,"Nhà ngõ, hẻm",Đã có sổ,85.71
46960,Long Biên,Ngọc Lâm,"Nhà ngõ, hẻm",Đã có sổ,78.24
34941,Huyện Hoài Đức,Xã La Phù,"Nhà mặt phố, mặt tiền",Đã có sổ,54.55
16050,Thanh Xuân,Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,70.27
41767,Hoàng Mai,Tương Mai,"Nhà ngõ, hẻm",Đã có sổ,37.5
40037,Đống Đa,Ô Chợ Dừa,"Nhà ngõ, hẻm",Đã có sổ,73.24
577,Huyện Gia Lâm,Xã Kiêu Kỵ,"Nhà mặt phố, mặt tiền",Đã có sổ,37.79
5364,Hai Bà Trưng,Bạch Mai,"Nhà ngõ, hẻm",Đã có sổ,28.33
5946,Cầu Giấy,Trung Hoà,"Nhà mặt phố, mặt tiền",Đã có sổ,273.81
71432,Hà Đông,Kiến Hưng,"Nhà ngõ, hẻm",Đã có sổ,52.38
45085,Đống Đa,Khương Thượng,"Nhà mặt phố, mặt tiền",Giấy tờ khác,177.78
43547,Hà Đông,Vạn Phúc,"Nhà ngõ, hẻm",Đã có sổ,75.0
22208,Thanh Xuân,Khương Trung,"Nhà mặt phố, mặt tiền",Đã có sổ,155.56
62299,Hai Bà Trưng,Bạch Mai,"Nhà ngõ, hẻm",Đã có sổ,82.0
16802,Cầu Giấy,Yên Hoà,"Nhà ngõ, hẻm",Đã có sổ,79.45
42222,Huyện Chương Mỹ,Thị trấn Chúc Sơn,"Nhà mặt phố, mặt tiền",Đã có sổ,43.26
55995,Hoàng Mai,Yên Sở,"Nhà ngõ, hẻm",Đã có sổ,85.0
45557,Đống Đa,Ô Chợ Dừa,"Nhà ngõ, hẻm",Đã có sổ,89.19
43798,Ba Đình,Đội Cấn,"Nhà ngõ, hẻm",Đã có sổ,65.56
65574,Hai Bà Trưng,Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,100.0
5667,Đống Đa,Trung Liệt,Nhà phố liền kề,Đã có sổ,165.71
52349,Hoàng Mai,Vĩnh Hưng,"Nhà ngõ, hẻm",Đã có sổ,66.67
3249,Đống Đa,Ngã Tư Sở,"Nhà ngõ, hẻm",Đã có sổ,96.25
69558,Long Biên,Bồ Đề,"Nhà ngõ, hẻm",Đã có sổ,94.12
71975,Hai Bà Trưng,Phố Huế,"Nhà ngõ, hẻm",Đã có sổ,92.42
42687,Hà Đông,Quang Trung,"Nhà ngõ, hẻm",Đã có sổ,87.71
24989,Hà Đông,Văn Quán,"Nhà mặt phố, mặt tiền",Đã có sổ,116.22
18981,Huyện Thanh Trì,Xã Tân Triều,"Nhà ngõ, hẻm",Đã có sổ,52.08
69923,Thanh Xuân,Nhân Chính,"Nhà ngõ, hẻm",Đã có sổ,83.33
54200,Nam Từ Liêm,Mễ Trì,"Nhà ngõ, hẻm",Đã có sổ,100.0
35855,Long Biên,Gia Thụy,"Nhà ngõ, hẻm",Đã có sổ,70.0
24451,Ba Đình,Phúc Xá,"Nhà ngõ, hẻm",Đã có sổ,115.71
75364,Đống Đa,Nam Đồng,"Nhà ngõ, hẻm",Đã có sổ,119.33
54623,Hai Bà Trưng,Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,103.0
78133,Hoàng Mai,Lĩnh Nam,"Nhà ngõ, hẻm",Đã có sổ,53.33
7259,Ba Đình,Giảng Võ,"Nhà mặt phố, mặt tiền",Đã có sổ,351.75
33434,Ba Đình,Phúc Xá,"Nhà ngõ, hẻm",Đã có sổ,56.41
43360,Hà Đông,Vạn Phúc,"Nhà mặt phố, mặt tiền",Đã có sổ,173.08
78829,Hai Bà Trưng,Bạch Đằng,Nhà phố liền kề,Đã có sổ,75.68
31476,Ba Đình,Ngọc Hà,"Nhà ngõ, hẻm",Đã có sổ,82.5
10695,Thanh Xuân,Thanh Xuân Trung,"Nhà ngõ, hẻm",Đã có sổ,120.0
39766,Thanh Xuân,Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,103.13
58799,Cầu Giấy,Nghĩa Đô,"Nhà ngõ, hẻm",Đã có sổ,110.0
44929,Hoàng Mai,Tương Mai,"Nhà ngõ, hẻm",Đã có sổ,36.67
62924,Hai Bà Trưng,Bách Khoa,"Nhà ngõ, hẻm",Đã có sổ,90.0
34809,Long Biên,Ngọc Thụy,"Nhà mặt phố, mặt tiền",Đã có sổ,122.34
63186,Ba Đình,Đội Cấn,"Nhà ngõ, hẻm",Đã có sổ,78.13
35627,Thanh Xuân,Thanh Xuân Trung,"Nhà ngõ, hẻm",Đã có sổ,76.92
12692,Thanh Xuân,Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,84.29
18071,Cầu Giấy,Yên Hoà,"Nhà ngõ, hẻm",Đã có sổ,93.0
47597,Hai Bà Trưng,Trương Định,"Nhà ngõ, hẻm",Đã có sổ,80.0
12312,Thanh Xuân,Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,72.0
6877,Hoàng Mai,Định Công,"Nhà ngõ, hẻm",Đã có sổ,67.5
55749,Nam Từ Liêm,Mỹ Đình 1,"Nhà ngõ, hẻm",Đã có sổ,130.0
56858,Tây Hồ,Thụy Khuê,"Nhà mặt phố, mặt tiền",Đã có sổ,200.0
61705,Bắc Từ Liêm,Xuân Đỉnh,"Nhà ngõ, hẻm",Đã có sổ,69.44
4764,Thanh Xuân,Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,79.43
17724,Nam Từ Liêm,Mỹ Đình 1,"Nhà ngõ, hẻm",Đã có sổ,66.25
64357,Ba Đình,Liễu Giai,"Nhà ngõ, hẻm",Đã có sổ,166.67
33561,Cầu Giấy,Dịch Vọng,"Nhà ngõ, hẻm",Đã có sổ,86.0
68645,Cầu Giấy,Nghĩa Đô,"Nhà ngõ, hẻm",Đã có sổ,120.0
63626,Hà Đông,Hà Cầu,"Nhà mặt phố, mặt tiền",Đã có sổ,67.14
